State_code,State,Municipality,Municipal_code,Year,Treatment,MajorHighway,MajorPort,Airports,Railline,Oilline,Intlborder,Shoreline,Poppies,MajCity,Mayor,MayorParty,Attack,Attack_count,Incumbent,Population,Homicidio,id_code
30,Veracruz,Nautla,114,2021,0,1,0,0,0,0,0,0,0,0,Miguel Verjel Vázquez,PRD,0,0,0,53938,1,30-114
7,Chiapas,Aldama,113,2015,1,0,0,0,0,0,0,0,0,0,Juan Mendez Santiz,PRI,0,0,0,290458,24,7-113
14,Jalisco,San Gabriel,113,2015,1,1,0,0,0,0,0,0,0,0,Juan Jose Gutierrez Contreras,CPJ,0,0,0,290458,38,14-113
15,Mexico,Villa Guerrero,113,2015,1,1,0,0,0,0,0,0,0,0,Sergio Estrada Gonzalez,CPEM,0,0,0,290458,39,15-113
16,Michoacan,José Sixto Verduzco,113,2015,1,1,0,0,0,0,0,0,0,0,Juan Manuel Polina Arriaga,COAL.,0,0,0,290458,30,16-113
21,Puebla,Piaxtla,113,2015,1,1,0,0,0,0,0,0,0,0,Jose Francisco Sanchez Lucero,CPP,0,0,0,290458,33,21-113
30,Veracruz,Naranjal,113,2015,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,290458,21,30-113
7,Chiapas,Aldama,113,2016,1,0,0,0,0,0,0,0,0,0,Juan Mendez Santiz,PRI,0,0,0,290458,24,7-113
14,Jalisco,San Gabriel,113,2016,1,1,0,0,0,0,0,0,0,0,Juan Jose Gutierrez Contreras,CPJ,0,0,0,11599,2,14-113
15,Mexico,Villa Guerrero,113,2016,1,1,0,0,0,0,0,0,0,0,Sergio Estrada Gonzalez,CPEM,0,0,0,11599,2,15-113
16,Michoacan,José Sixto Verduzco,113,2016,1,1,0,0,0,0,0,0,0,0,Juan Manuel Polina Arriaga,COAL.,0,0,0,11599,1,16-113
21,Puebla,Piaxtla,113,2016,1,1,0,0,0,0,0,0,0,0,Jose Francisco Sanchez Lucero,CPP,0,0,0,11599,2,21-113
30,Veracruz,Naranjal,113,2016,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,11599,2,30-113
7,Chiapas,Aldama,113,2017,1,0,0,0,0,0,0,0,0,0,Dominga Pérez López,PRD,0,0,0,11599,4,7-113
14,Jalisco,San Gabriel,113,2017,1,1,0,0,0,0,0,0,0,0,Cesar Augusto Rodríguez Gómez,PAN,0,0,0,11599,0,14-113
15,Mexico,Villa Guerrero,113,2017,1,1,0,0,0,0,0,0,0,0,Pedro Norberto Díaz Ocampo,PRI/PVEM/ALIANZA,0,0,0,8808,1,15-113
16,Michoacan,José Sixto Verduzco,113,2017,1,1,0,0,0,0,0,0,0,0,Gustavo Ávila Vázquez,PRD,0,0,0,8808,1,16-113
21,Puebla,Piaxtla,113,2017,1,1,0,0,0,0,0,0,0,0,Erik Lucero Sánchez,PRI/PVEM,0,0,0,8808,1,21-113
30,Veracruz,Naranjal,113,2017,0,0,0,0,0,0,0,0,0,0,Francisco Florentino Tepepa Miranda,CVPA,0,0,0,8808,1,30-113
7,Chiapas,Aldama,113,2018,1,0,0,0,0,0,0,0,0,0,Dominga Pérez López,PRD,0,0,0,8808,0,7-113
14,Jalisco,San Gabriel,113,2018,1,1,0,0,0,0,0,0,0,0,Cesar Augusto Rodríguez Gómez,PAN,0,0,0,8808,0,14-113
15,Mexico,Villa Guerrero,113,2018,1,1,0,0,0,0,0,0,0,0,Pedro Norberto Díaz Ocampo,PRI/PVEM/ALIANZA,0,0,0,8808,2,15-113
16,Michoacan,José Sixto Verduzco,113,2018,1,1,0,0,0,0,0,0,0,0,Gustavo Ávila Vázquez,PRD,0,0,0,9789,0,16-113
21,Puebla,Piaxtla,113,2018,1,1,0,0,0,0,0,0,0,0,Erik Lucero Sánchez,PRI/PVEM,0,0,0,9789,0,21-113
30,Veracruz,Naranjal,113,2018,0,0,0,0,0,0,0,0,0,0,Francisco Florentino Tepepa Miranda,CVPA,0,0,0,9789,1,30-113
7,Chiapas,Aldama,113,2019,1,0,0,0,0,0,0,0,0,0,Verónica Ruiz Pérez,PRI,0,0,0,9789,0,7-113
